time,logger,level,message,exception
2012-06-08 09:39:17.5807,Raven.Database.Indexing.IndexStorage.Startup,Warn,"Unclean shutdown detected on Raven/DocumentsByEntityName, checking the index for errors. This may take a while.",
2012-06-08 09:39:17.5917,Raven.Database.Indexing.IndexStorage.Startup,Warn,"Checking index Raven/DocumentsByEntityName took: 00:00:00.0106485, clean: True",
2012-06-08 09:39:17.5917,Raven.Database.Indexing.IndexStorage,Warn,"Segments file=segments_i numSegments=7 version=FORMAT_DIAGNOSTICS [Lucene 2.9]
  1 of 7: name=_a docCount=2
    compound=False
    hasProx=True
    numFiles=8
    size (MB)=0.00
    diagnostics = {os=Windows_NT, optimize=False, lucene.version=2.9.4.1, mergeFactor=10, mergeDocStores=True, source=merge, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    has deletions [delFileName=_a_1.del]
    test: open reader.........OK [1 deleted docs]
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [5 terms; 6 terms/docs pairs; 3 tokens]
    test: stored fields.......OK [1 total field count; avg 1.00 fields per doc]
    test: term vectors........OK [0 total vector count; avg 0.00 term/freq vector fields per doc]

  2 of 7: name=_b docCount=1
    compound=True
    hasProx=True
    numFiles=2
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    has deletions [delFileName=_b_1.del]
    test: open reader.........OK [1 deleted docs]
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [3 terms; 3 terms/docs pairs; 0 tokens]
    test: stored fields.......OK [0 total field count; avg NaN fields per doc]
    test: term vectors........OK [0 total vector count; avg NaN term/freq vector fields per doc]

  3 of 7: name=_c docCount=1
    compound=True
    hasProx=True
    numFiles=1
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    no deletions
    test: open reader.........OK
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [3 terms; 3 terms/docs pairs; 3 tokens]
    test: stored fields.......OK [1 total field count; avg 1.00 fields per doc]
    test: term vectors........OK [0 total vector count; avg 0.00 term/freq vector fields per doc]

  4 of 7: name=_d docCount=1
    compound=True
    hasProx=True
    numFiles=2
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    has deletions [delFileName=_d_1.del]
    test: open reader.........OK [1 deleted docs]
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [3 terms; 3 terms/docs pairs; 0 tokens]
    test: stored fields.......OK [0 total field count; avg NaN fields per doc]
    test: term vectors........OK [0 total vector count; avg NaN term/freq vector fields per doc]

  5 of 7: name=_e docCount=1
    compound=True
    hasProx=True
    numFiles=1
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    no deletions
    test: open reader.........OK
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [3 terms; 3 terms/docs pairs; 3 tokens]
    test: stored fields.......OK [1 total field count; avg 1.00 fields per doc]
    test: term vectors........OK [0 total vector count; avg 0.00 term/freq vector fields per doc]

  6 of 7: name=_f docCount=1
    compound=True
    hasProx=True
    numFiles=2
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    has deletions [delFileName=_f_1.del]
    test: open reader.........OK [1 deleted docs]
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [3 terms; 3 terms/docs pairs; 0 tokens]
    test: st",
2012-06-08 09:39:17.5917,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Raven/DocumentsByEntityName,
2012-06-08 09:39:17.6397,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-06-08 09:39:17.7737,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-06-08 09:39:17.8176,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-06-08 09:39:18.4245,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:39:18.5304,Raven.Database.Server.HttpServer,Debug,Request #   1: GET     -   127 ms - <default>  - 200 - /docs/SMSMessages/65?noCache=1700530934,
2012-06-08 09:39:20.8637,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime for: SendTime:{* TO 20120608093920700} AND ( *:* -MessageSent:true),
2012-06-08 09:39:21.2546,Raven.Database.Server.HttpServer,Debug,Request #   2: GET     -   552 ms - <default>  - 200 - /indexes/dynamic/SMSMessages?query=SendTime%253A%257B*%2520TO%252020120608093920700%257D%2520AND%2520(%2520*%253A*%2520-MessageSent%253Atrue)&start=0&pageSize=128&aggregation=None,
2012-06-08 09:39:21.2546,Raven.Database.Server.HttpServer,Debug,"	Query: SendTime:{* TO 20120608093920700} AND ( *:* -MessageSent:true)
	Time: 449 ms
	Index: Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime
	Results: 0 returned out of 0 total.
",
2012-06-08 09:39:21.3996,Raven.Database.Server.HttpServer,Debug,Request #   3: GET     -    85 ms - <default>  - 200 - /stats?noCache=1772895558,
2012-06-08 09:39:24.3447,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:39:31.6015,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime for: SendTime:{* TO 20120608093931376} AND ( *:* -MessageSent:true),
2012-06-08 09:39:31.6105,Raven.Database.Server.HttpServer,Debug,Request #   4: GET     -    11 ms - <default>  - 200 - /indexes/dynamic/SMSMessages?query=SendTime%253A%257B*%2520TO%252020120608093931376%257D%2520AND%2520(%2520*%253A*%2520-MessageSent%253Atrue)&start=0&pageSize=128&aggregation=None,
2012-06-08 09:39:31.6105,Raven.Database.Server.HttpServer,Debug,"	Query: SendTime:{* TO 20120608093931376} AND ( *:* -MessageSent:true)
	Time: 10 ms
	Index: Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime
	Results: 0 returned out of 0 total.
",
2012-06-08 09:39:31.6525,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:39:36.6930,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:39:41.6445,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-08 09:39:41.6445,Raven.Database.Server.HttpServer,Debug,Request #   5: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-06-08 09:39:41.6475,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime for: SendTime:{* TO 20120608093941643} AND ( *:* -MessageSent:true),
2012-06-08 09:39:41.6475,Raven.Database.Server.HttpServer,Debug,Request #   6: GET     -     2 ms - <default>  - 200 - /indexes/dynamic/SMSMessages?query=SendTime%253A%257B*%2520TO%252020120608093941643%257D%2520AND%2520(%2520*%253A*%2520-MessageSent%253Atrue)&start=0&pageSize=128&aggregation=None,
2012-06-08 09:39:41.6475,Raven.Database.Server.HttpServer,Debug,"	Query: SendTime:{* TO 20120608093941643} AND ( *:* -MessageSent:true)
	Time: 2 ms
	Index: Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime
	Results: 0 returned out of 0 total.
",
2012-06-08 09:39:41.7595,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:39:46.8289,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'SMSMessages/65' was found,
2012-06-08 09:39:51.6765,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-06-08 09:39:51.6765,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime for: SendTime:{* TO 20120608093951675} AND ( *:* -MessageSent:true),
2012-06-08 09:39:51.6765,Raven.Database.Server.HttpServer,Debug,Request #   7: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
